,Description,Image_url
0,Linen suit trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/86/10/86105d68918f929bbb7df257fa5317edcecbbedb.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
1,Linen suit trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/33/8d/338decabb47c6f82f57fbd6ee21d726e8ea0a55a.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
2,Suit trousers Skinny FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/f8/56/f856f3d6b47501152206a74910ef26973156addb.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
3,Suit trousers Skinny FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/80/7e/807eec839206acca98fe61601887f6dfcefb9181.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
4,Suit trousers Skinny FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/a1/c3/a1c347470bdac4a687457413b37c16c024255de9.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
5,Cropped suit trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/ed/36/ed36a4f3f4dbaa93f55a27a9ed73bd418d2f781f.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
6,COOLMAX® trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/ce/ff/ceff9d58a61f315c50870d2bc76fded4ed48146f.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
7,Suit trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/42/03/42036173389bd9d1f41f8b10ce74e62a5f8361b4.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
8,Cotton chinos Skinny fitModel,"http://lp2.hm.com/hmgoepprod?set=source[/4d/ee/4dee979bb53deaddcd4a50450ed4695ea23f19ea.jpg],origin[dam],category[men_trousers_chinos_skinny_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
9,Chinos Slim Fit StretchModel,"http://lp2.hm.com/hmgoepprod?set=source[/74/ab/74ab6dae8561643e1b99e466ea9716081239ecff.jpg],origin[dam],category[men_trousers_chinos_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
