,Description,Image_url
0,Round-neck T-shirt Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/d4/22/d42277a0ed20d8f9c13929ebafec8daa8feae3ac.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
1,Round-neck T-shirt Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/b2/c7/b2c7ad5eb55e30de9fef3a9dbc110c47d3995fec.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
2,Round-neck T-shirt Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/fd/64/fd64aea9a7d1f9aa432b3abd41e7e25ee612fc2d.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
3,Round-neck T-shirt Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/8a/57/8a57975f2484e3b09efc66b786856c798b5b4da9.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
4,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/c7/8f/c78f2cc0a638a7f720c614becf32fdb95a098e32.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
5,3-pack T-shirts Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/4d/7c/4d7c153962063eb138f4eb55f00aff00a65a3ee4.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
6,Round-neck T-shirt Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/36/d5/36d5dae0a8a55ba4336cc913998add38b9427cea.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
7,T-shirt Relaxed FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/c9/16/c916a3df2c80b03cbaa9eb045034ca2b2f1c716a.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
8,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/54/fc/54fc19757ba3a03487266f43ec736e4bf548d22d.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
9,T-shirt Long FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/c1/b1/c1b1bbc63a23984e66f3e32f1ce5b45ad8b0956f.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
10,Round-neck T-shirt Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/35/98/35986529ca3dc88d58695fe1396f909aaf0eea57.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
11,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/79/48/7948d373f07ce8bbb9b3b2eb1a54dcb223b0eabe.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
12,T-shirt Relaxed FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/15/0a/150a6041e6e522e09a74f47ccd35fb63b386a5fb.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
13,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/2b/09/2b097c1cf1ae6398cea6dbc78271340d1dd0167b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
14,T-shirt with a motifModel,"http://lp2.hm.com/hmgoepprod?set=source[/39/07/3907163d0b342e2a607d75af6a8a1c183b5432d3.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
15,Cotton T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/53/2d/532decdb2bcdf3812d94a2761acd37e2d2759232.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
16,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/c2/d4/c2d446b3f9ba19ac4961b477d63e9a6c17cc8aad.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
17,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/2c/c7/2cc793552ff795f45a3825eb18530b199e3ec61a.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
18,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/b2/35/b235b6a206fae1106c4f9f207b77cba593a80407.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
19,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/19/8c/198c82da652f85c1a1befad8e0d996e07f0c4853.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
20,Cotton T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/8c/e4/8ce4e656458c92e434de2fb2e052d753b0cd1caa.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
21,T-shirt with a motifModel,"http://lp2.hm.com/hmgoepprod?set=source[/5d/57/5d57745637692d5f2cecff7f0c8ac27e7e650ae0.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
22,T-shirt with a motifModel,"http://lp2.hm.com/hmgoepprod?set=source[/42/7e/427e722eac82f21e601be64f5a94d81aef9dbde8.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
23,T-shirt with a motifModel,"http://lp2.hm.com/hmgoepprod?set=source[/d7/a2/d7a28e9335857c72edd096bcee1122e980820817.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
24,T-shirt with a motifModel,"http://lp2.hm.com/hmgoepprod?set=source[/20/35/2035262c38bb16f90cec6ddefdaf5a9e224df11c.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
25,T-shirt with a motifModel,"http://lp2.hm.com/hmgoepprod?set=source[/27/fa/27fa38dc8bf9843ff5554de5f0f2583b3b4a2a3a.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
26,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/39/a3/39a3bc469a7ad25c21e4aa36faef649c829929ce.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
27,Cotton T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/42/db/42db6d6e996b5e8c0a22f11a026fae87f1c9c084.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
28,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/69/d8/69d8441a4757b6cfc3f51829f403a71572030080.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
29,Patterned T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/9d/22/9d22f46b4c05151ad1b208af4d85f78f94e75f23.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
30,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/cb/18/cb186606ab4c1ece8655dac9e134a348a660a6c5.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
31,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/79/02/790250430a98a37c8bd6ac2c83754aeee470e608.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
32,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/e5/3e/e53ef97e698a0ef66b6d63928ec73569df2c4c6c.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
33,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/7f/12/7f12888402290ce7a3bcfff09be3186818acea01.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
34,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/ff/13/ff134f71d78bcda807877ff0d660b66beaeecd36.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
35,Raw-edge T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/57/74/5774cc0cc29e676c4a2b622c5edf10dcbbca298e.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
36,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/f6/e7/f6e77af48b3a6d3ef63d8864a37496040cd2d816.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
37,Patterned T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/7d/8a/7d8ab7211af594ede867cd96ffcf7cb1f108247b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
38,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/b0/fd/b0fdf54469ec75f206c18f69eeb0af5de4f2c4ca.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
39,T-shirt Relaxed FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/4b/ab/4bab4036d2a33a558f3ba33ccbea8b5d84c5d8fa.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
40,T-shirt with a motifModel,"http://lp2.hm.com/hmgoepprod?set=source[/2c/06/2c06b0a9da2cb4cfb8b7c6bfbe04b3b86d794b4b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
41,Raw-edge T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/cf/cc/cfcc8d86508f06abc7632b5665a39349aae0698c.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
42,Raw-edge T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/3a/16/3a169b74218daceef1d94be18221d46b4602e9d7.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
43,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/9c/2a/9c2a7ad521265c56d12247e3e4b8c99e675f9761.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
44,3-pack T-shirts Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/bb/3c/bb3c847198485066e392f9edbc06dc57b7583ef2.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
45,3-pack T-shirts Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/d8/d4/d8d4220fa125c5304f334fba6f341efb2468ecab.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
46,Premium cotton T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/42/5f/425ff546dbf4d26d01201ec8afa6b86a1181dd9f.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
47,5-pack T-shirts Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/9f/61/9f6129eb8065cfff1ff210474ca2ef0a36cd0ad2.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
48,5-pack vest tops Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/d0/a6/d0a68c7fc3d122307533777e23a4984b9c3ead3b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
49,Polo shirt Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/9d/94/9d9437d560c03922ef45e2f3f09c2bd45cffb081.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
50,2-pack vest tops Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/91/bf/91bf09a9d0457211c11749bcb2c313967b180315.jpg],origin[dam],category[men_tshirtstanks_tanks],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
51,5-pack T-shirts Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/27/c7/27c7adbc3dbed187ee4e007e95b2bcdc5bf5ceec.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
52,3-pack T-shirts Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/45/3f/453f2e81ff70267cd0b6d5aee2d58c87b9b5d517.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
53,3-pack T-shirts Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/a7/c1/a7c185416fe7d7c6fa882da7be3e8cdcaaf8a65b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
54,2-pack vest tops Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/80/29/80299aec68fd2d98737e3b288c51584bd83181c4.jpg],origin[dam],category[men_tshirtstanks_tanks],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
55,Round-neck T-shirt Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/84/5a/845ad97f53ad90aa2745aa06b356a21e9bf78d5d.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
56,Cotton T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/bc/e5/bce57c4a799eec09e609ec7bd96c81095d192b84.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
57,3-pack T-shirts Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/7f/f8/7ff8b94e5423ff0e65b90a0cdeb3229a719fb6f3.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
58,T-shirt Long FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/0f/85/0f85cfde498f8f5ab0c2856056cfa0c82eb1a745.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
59,T-shirt Long FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/11/27/1127c1c0c94616e819660927e437a540e84b4db0.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
60,COOLMAX® polo shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/ba/67/ba67b09b0560e3dfade2eb957a154496ca814780.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
